code,name,latitude,longitude,use,closed
SHNL,Nueva de Lyon,-33.421389,-70.610556,,0
SHNO,Catalina Norte 2,-52.575278,-69.663611,,0
SHNT,Hospital Puerto Natales,-51.727647,-72.479111,,0
SHOH,Escuela Militar,-33.408889,-70.580833,,0
SHOL,Santa Laura,-32.990389,-71.217944,,0
SHOR,Edificio Isidora El Bosque,-33.414470,-70.601420,,0
SHOV,Lo Ovalle,-33.250833,-71.368333,,0
SHPA,Paranal,-24.641667,-70.382500,,0
SHPC,Edificio Corporativo CMPC,-37.392694,-72.360667,,0
SHPD,Titanium,-33.413056,-70.603611,,0
SHPE,Pelluco,-41.485556,-72.902778,,0
SHPG,PUBLI-G,-29.925833,-71.268056,,0
SHPH,Santa Teresa,-33.554972,-70.815417,,0
SHPM,Lago La Paloma,-45.922778,-72.146111,,0
SHPT,Portillo,-32.837289,-70.131506,,0
SHPU,Punta Catalina,-52.545833,-68.758333,,0
SHRA,Gildemeister,-33.379444,-70.530278,,0
SHRE,José Miguel Carrera,-33.441389,-70.655000,,0
SHRO,La Rosa Peumo,-34.370722,-71.177028,,0
SHRP,Rapel,-34.212778,-71.453056,,0
SHRZ,Edificio Reitz Dos,-33.042914,-71.516881,,0
SHSA,Santa María de Liray,-33.246139,-70.722361,PVT,0
SHSB,Cerro Sombrero,-52.766667,-69.289444,,0
SHSC,Hospital San Carlos de Ancud,-41.886472,-73.809642,,0
SHSD,Sonda,-33.437500,-70.655833,,0
SHSE,Posesión,-52.249444,-68.936667,,0
SHSG,San Gregorio,-52.621488,-70.204483,,0
SHSH,Santiago SPA,-33.382056,-70.625556,,0
SHSI,Posesión 5,-52.268333,-69.073333,,0
SHSJ,Hospital San Jose,-40.589056,-73.127556,,0
SHSK,Skua 1,-52.409167,-68.785278,,0
SHSN,Hospital San José del Carmen,-27.373600,-70.322056,,0
SHSO,Hospital Santiago Oriente,-33.502222,-70.578889,,0
SHSP,HLP Moneda Bicentenario,-33.442778,-70.655000,,0
SHSR,Edificio Torre San Ramón,-33.416667,-70.603889,,0
SHSS,Hospital Regional de Temuco,-38.735833,-72.598333,,0
SHSU,Skua 4,-52.375833,-68.788611,,0
SHTA,Hospital Provincial de Talagante,-33.666950,-70.919500,,0
SHTC,Edificio Corporativo CTC,-33.436944,-70.632500,,0
SHTE,HLP Santa Graciela,-34.851056,-71.324000,,0
SHTL,Torre Ligure,-36.824444,-73.050000,,0
SHTO,Hospital Alto Hospicio,-20.296028,-70.097639,,0
SHTS,Alto Trapenses,-33.322222,-70.590833,,0
SHUC,HLP Clínica San Carlos de Apoquindo,-33.400611,-70.507869,,0
SHVE,Valle Escondido,-33.346778,-70.487900,,0
SHVI,Villarrica Park Lake,-39.301944,-72.088889,,0
SHWE,WELLFORD,-33.655528,-70.720222,,0
SHXE,ETXEA,-33.348639,-70.493056,,0
SHYA,Sumaya,-33.676667,-70.547222,,0
